# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Sun Aug 18 22:43:49 2024
#
# User preference: *
#
# CONSTRAINT:  where (default_flag = 1
# CONSTRAINT:  and tran_flag = 1
# CONSTRAINT:  and pl_controv_flag = 0)
#
# COLUMN pl_name:        Planet Name
# COLUMN default_flag:   Default Parameter Set
# COLUMN sy_snum:        Number of Stars
# COLUMN sy_pnum:        Number of Planets
# COLUMN discoverymethod: Discovery Method
# COLUMN tran_flag:      Detected by Transits
# COLUMN pl_controv_flag: Controversial Flag
# COLUMN pl_refname:     Planetary Parameter Reference
# COLUMN pl_orbper:      Orbital Period [days]
# COLUMN pl_orbpererr1:  Orbital Period Upper Unc. [days]
# COLUMN pl_orbpererr2:  Orbital Period Lower Unc. [days]
# COLUMN pl_orbperlim:   Orbital Period Limit Flag
# COLUMN pl_orbsmax:     Orbit Semi-Major Axis [au]
# COLUMN pl_orbsmaxerr1: Orbit Semi-Major Axis Upper Unc. [au]
# COLUMN pl_orbsmaxerr2: Orbit Semi-Major Axis Lower Unc. [au]
# COLUMN pl_orbsmaxlim:  Orbit Semi-Major Axis Limit Flag
# COLUMN pl_rade:        Planet Radius [Earth Radius]
# COLUMN pl_radeerr1:    Planet Radius Upper Unc. [Earth Radius]
# COLUMN pl_radeerr2:    Planet Radius Lower Unc. [Earth Radius]
# COLUMN pl_radelim:     Planet Radius Limit Flag
# COLUMN pl_bmassj:      Planet Mass or Mass*sin(i) [Jupiter Mass]
# COLUMN pl_bmassjerr1:  Planet Mass or Mass*sin(i) [Jupiter Mass] Upper Unc.
# COLUMN pl_bmassjerr2:  Planet Mass or Mass*sin(i) [Jupiter Mass] Lower Unc.
# COLUMN pl_bmassjlim:   Planet Mass or Mass*sin(i) [Jupiter Mass] Limit Flag
# COLUMN pl_orbeccen:    Eccentricity
# COLUMN pl_orbeccenerr1: Eccentricity Upper Unc.
# COLUMN pl_orbeccenerr2: Eccentricity Lower Unc.
# COLUMN pl_orbeccenlim: Eccentricity Limit Flag
# COLUMN pl_insol:       Insolation Flux [Earth Flux]
# COLUMN pl_insolerr1:   Insolation Flux Upper Unc. [Earth Flux]
# COLUMN pl_insolerr2:   Insolation Flux Lower Unc. [Earth Flux]
# COLUMN pl_insollim:    Insolation Flux Limit Flag
# COLUMN pl_eqt:         Equilibrium Temperature [K]
# COLUMN pl_eqterr1:     Equilibrium Temperature Upper Unc. [K]
# COLUMN pl_eqterr2:     Equilibrium Temperature Lower Unc. [K]
# COLUMN pl_eqtlim:      Equilibrium Temperature Limit Flag
# COLUMN pl_ratdor:      Ratio of Semi-Major Axis to Stellar Radius
# COLUMN pl_ratdorerr1:  Ratio of Semi-Major Axis to Stellar Radius Upper Unc.
# COLUMN pl_ratdorerr2:  Ratio of Semi-Major Axis to Stellar Radius Lower Unc.
# COLUMN pl_ratdorlim:   Ratio of Semi-Major Axis to Stellar Radius Limit Flag
# COLUMN pl_ratror:      Ratio of Planet to Stellar Radius
# COLUMN pl_ratrorerr1:  Ratio of Planet to Stellar Radius Upper Unc.
# COLUMN pl_ratrorerr2:  Ratio of Planet to Stellar Radius Lower Unc.
# COLUMN pl_ratrorlim:   Ratio of Planet to Stellar Radius Limit Flag
# COLUMN st_refname:     Stellar Parameter Reference
# COLUMN st_spectype:    Spectral Type
# COLUMN st_teff:        Stellar Effective Temperature [K]
# COLUMN st_tefferr1:    Stellar Effective Temperature Upper Unc. [K]
# COLUMN st_tefferr2:    Stellar Effective Temperature Lower Unc. [K]
# COLUMN st_tefflim:     Stellar Effective Temperature Limit Flag
# COLUMN st_rad:         Stellar Radius [Solar Radius]
# COLUMN st_raderr1:     Stellar Radius Upper Unc. [Solar Radius]
# COLUMN st_raderr2:     Stellar Radius Lower Unc. [Solar Radius]
# COLUMN st_radlim:      Stellar Radius Limit Flag
# COLUMN st_mass:        Stellar Mass [Solar mass]
# COLUMN st_masserr1:    Stellar Mass Upper Unc. [Solar mass]
# COLUMN st_masserr2:    Stellar Mass Lower Unc. [Solar mass]
# COLUMN st_masslim:     Stellar Mass Limit Flag
# COLUMN st_met:         Stellar Metallicity [dex]
# COLUMN st_meterr1:     Stellar Metallicity Upper Unc. [dex]
# COLUMN st_meterr2:     Stellar Metallicity Lower Unc. [dex]
# COLUMN st_metlim:      Stellar Metallicity Limit Flag
# COLUMN st_lum:         Stellar Luminosity [log(Solar)]
# COLUMN st_lumerr1:     Stellar Luminosity Upper Unc. [log(Solar)]
# COLUMN st_lumerr2:     Stellar Luminosity Lower Unc. [log(Solar)]
# COLUMN st_lumlim:      Stellar Luminosity Limit Flag
# COLUMN st_logg:        Stellar Surface Gravity [log10(cm/s**2)]
# COLUMN st_loggerr1:    Stellar Surface Gravity Upper Unc. [log10(cm/s**2)]
# COLUMN st_loggerr2:    Stellar Surface Gravity Lower Unc. [log10(cm/s**2)]
# COLUMN st_logglim:     Stellar Surface Gravity Limit Flag
# COLUMN st_age:         Stellar Age [Gyr]
# COLUMN st_ageerr1:     Stellar Age Upper Unc. [Gyr]
# COLUMN st_ageerr2:     Stellar Age Lower Unc. [Gyr]
# COLUMN st_agelim:      Stellar Age Limit Flag
# COLUMN st_vsin:        Stellar Rotational Velocity [km/s]
# COLUMN st_vsinerr1:    Stellar Rotational Velocity [km/s] Upper Unc.
# COLUMN st_vsinerr2:    Stellar Rotational Velocity [km/s] Lower Unc.
# COLUMN st_vsinlim:     Stellar Rotational Velocity Limit Flag
# COLUMN st_rotp:        Stellar Rotational Period [days]
# COLUMN st_rotperr1:    Stellar Rotational Period [days] Upper Unc.
# COLUMN st_rotperr2:    Stellar Rotational Period [days] Lower Unc.
# COLUMN st_rotplim:     Stellar Rotational Period Limit Flag
# COLUMN rowupdate:      Date of Last Update
#
pl_name,default_flag,sy_snum,sy_pnum,discoverymethod,tran_flag,pl_controv_flag,pl_refname,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_bmassjlim,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_insol,pl_insolerr1,pl_insolerr2,pl_insollim,pl_eqt,pl_eqterr1,pl_eqterr2,pl_eqtlim,pl_ratdor,pl_ratdorerr1,pl_ratdorerr2,pl_ratdorlim,pl_ratror,pl_ratrorerr1,pl_ratrorerr2,pl_ratrorlim,st_refname,st_spectype,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_rad,st_raderr1,st_raderr2,st_radlim,st_mass,st_masserr1,st_masserr2,st_masslim,st_met,st_meterr1,st_meterr2,st_metlim,st_lum,st_lumerr1,st_lumerr2,st_lumlim,st_logg,st_loggerr1,st_loggerr2,st_logglim,st_age,st_ageerr1,st_ageerr2,st_agelim,st_vsin,st_vsinerr1,st_vsinerr2,st_vsinlim,st_rotp,st_rotperr1,st_rotperr2,st_rotplim,rowupdate
Kepler-1247 b,1,1,1,Transit,1,0,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,13.71220213,0.00006363,-0.00006363,0,,,,,2.330,0.210,-0.160,0,,,,,,,,,,,,,,,,,,,,,0.02627,0.00119,-0.00094,0,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,,5303.00,116.55,-112.59,0,0.82,0.06,-0.05,0,0.86,0.04,-0.05,0,-0.050,0.141,-0.156,0,,,,,4.55,0.04,-0.08,0,4.680,6.650,-2.940,0,,,,,,,,,2016-05-06
Kepler-1248 b,1,1,1,Transit,1,0,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,7.46725407,0.00005302,-0.00005302,0,,,,,1.180,0.200,-0.110,0,,,,,,,,,,,,,,,,,,,,,0.00862,0.00146,-0.00072,0,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,,6149.00,83.25,-74.30,0,1.21,0.06,-0.05,0,1.21,0.04,-0.04,0,0.240,0.075,-0.077,0,,,,,4.36,0.03,-0.04,0,1.510,0.705,-0.371,0,,,,,,,,,2016-05-06
Kepler-1249 b,1,1,1,Transit,1,0,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,24.33471270,0.00028860,-0.00028860,0,,,,,2.380,0.970,-0.380,0,,,,,,,,,,,,,,,,,,,,,0.01721,0.00056,-0.00086,0,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,,6202.00,133.62,-201.72,0,1.28,0.52,-0.20,0,1.19,0.17,-0.12,0,0.060,0.131,-0.153,0,,,,,4.29,0.11,-0.23,0,2.820,1.080,-1.110,0,,,,,,,,,2016-05-06
Kepler-125 b,1,1,2,Transit,1,0,<a refstr=ROWE_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...784...45R/abstract target=ref> Rowe et al. 2014</a>,4.16438900,0.00000300,-0.00000300,0,0.041000,,,0,2.370,0.100,-0.100,0,,,,,,,,,,,,,,,,,,,,,,,,,<a refstr=ROWE_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...784...45R/abstract target=ref> Rowe et al. 2014</a>,,3810.00,150.00,-150.00,0,0.51,0.02,-0.02,0,,,,,,,,,,,,,4.74,0.20,-0.20,0,,,,,,,,,,,,,2014-05-14
Kepler-125 c,1,1,2,Transit,1,0,<a refstr=ROWE_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...784...45R/abstract target=ref> Rowe et al. 2014</a>,5.77446400,0.00004700,-0.00004700,0,0.051000,,,0,0.740,0.050,-0.050,0,,,,,,,,,,,,,,,,,,,,,,,,,<a refstr=ROWE_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...784...45R/abstract target=ref> Rowe et al. 2014</a>,,3810.00,150.00,-150.00,0,0.51,0.02,-0.02,0,,,,,,,,,,,,,4.74,0.20,-0.20,0,,,,,,,,,,,,,2014-05-14
Kepler-1250 b,1,1,1,Transit,1,0,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,2.60754383,0.00000652,-0.00000652,0,,,,,1.920,0.450,-0.170,0,,,,,,,,,,,,,,,,,,,,,0.01808,0.00084,-0.00044,0,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,,5717.00,71.36,-82.51,0,0.98,0.22,-0.08,0,0.99,0.05,-0.05,0,0.040,0.139,-0.178,0,,,,,4.46,0.06,-0.18,0,4.570,4.060,-2.800,0,,,,,,,,,2016-05-06
Kepler-1251 b,1,1,1,Transit,1,0,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,45.09046430,0.00046300,-0.00046300,0,,,,,1.840,0.260,-0.140,0,,,,,,,,,,,,,,,,,,,,,0.01897,0.00104,-0.00074,0,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,,5545.00,85.54,-95.15,0,0.89,0.12,-0.06,0,0.92,0.05,-0.06,0,-0.040,0.148,-0.177,0,,,,,4.51,0.05,-0.12,0,4.790,5.710,-3.060,0,,,,,,,,,2016-05-06
Kepler-1252 b,1,1,1,Transit,1,0,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,15.05403290,0.00012480,-0.00012480,0,,,,,1.670,0.420,-0.230,0,,,,,,,,,,,,,,,,,,,,,0.01421,0.00059,-0.00078,0,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,,5949.00,144.60,-218.38,0,1.09,0.27,-0.14,0,1.06,0.09,-0.09,0,0.030,0.137,-0.161,0,,,,,4.38,0.09,-0.17,0,3.890,2.360,-2.120,0,,,,,,,,,2016-05-06
Kepler-1253 b,1,1,1,Transit,1,0,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,68.88619150,0.00052700,-0.00052700,0,,,,,1.330,0.180,-0.180,0,,,,,,,,,,,,,,,,,,,,,0.01134,0.00014,-0.00073,0,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,,5850.00,65.89,-56.44,0,1.10,0.15,-0.13,0,0.97,0.06,-0.06,0,-0.140,0.147,-0.145,0,,,,,4.33,0.11,-0.10,0,7.080,1.800,-2.820,0,,,,,,,,,2016-05-06
Kepler-1254 b,1,1,3,Transit,1,0,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,9.99113313,0.00005610,-0.00005610,0,,,,,1.550,0.090,-0.120,0,,,,,,,,,,,,,,,,,,,,,0.01864,0.00083,-0.00081,0,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,,4985.00,53.00,-45.04,0,0.75,0.03,-0.05,0,0.78,0.04,-0.05,0,-0.100,0.149,-0.203,0,,,,,4.59,0.03,-0.04,0,5.620,5.650,-3.300,0,,,,,,,,,2016-05-06
Kepler-1254 c,1,1,3,Transit,1,0,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,3.60084276,0.00001900,-0.00001900,0,,,,,1.300,0.070,-0.120,0,,,,,,,,,,,,,,,,,,,,,0.01598,0.00050,-0.00099,0,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,,4985.00,53.00,-45.04,0,0.75,0.03,-0.05,0,0.78,0.04,-0.05,0,-0.100,0.149,-0.203,0,,,,,4.59,0.03,-0.04,0,5.620,5.650,-3.300,0,,,,,,,,,2016-05-06
Kepler-1254 d,1,1,3,Transit,1,0,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,5.72717226,0.00002908,-0.00002908,0,,,,,1.310,0.090,-0.110,0,,,,,,,,,,,,,,,,,,,,,0.01634,0.00088,-0.00075,0,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,,4985.00,53.00,-45.04,0,0.75,0.03,-0.05,0,0.78,0.04,-0.05,0,-0.100,0.149,-0.203,0,,,,,4.59,0.03,-0.04,0,5.620,5.650,-3.300,0,,,,,,,,,2016-05-06
Kepler-1255 b,1,1,1,Transit,1,0,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,36.29193360,0.00031560,-0.00031560,0,,,,,2.320,0.640,-0.290,0,,,,,,,,,,,,,,,,,,,,,0.01926,0.00073,-0.00056,0,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,,6018.00,134.73,-186.81,0,1.12,0.31,-0.14,0,1.08,0.10,-0.09,0,0.020,0.133,-0.161,0,,,,,4.37,0.09,-0.18,0,3.550,2.010,-1.760,0,,,,,,,,,2016-05-06
Kepler-1256 b,1,1,1,Transit,1,0,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,12.41277540,0.00010800,-0.00010800,0,,,,,1.490,0.440,-0.220,0,,,,,,,,,,,,,,,,,,,,,0.01004,0.00218,-0.00051,0,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,,6129.00,67.94,-69.29,0,1.36,0.27,-0.19,0,1.17,0.09,-0.06,0,0.050,0.092,-0.077,0,,,,,4.23,0.12,-0.13,0,3.720,0.910,-1.030,0,,,,,,,,,2016-05-06
Kepler-1257 b,1,1,1,Transit,1,0,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,2.66831376,0.00000986,-0.00000986,0,,,,,1.520,0.180,-0.120,0,,,,,,,,,,,,,,,,,,,,,0.01582,0.00078,-0.00039,0,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,,5502.00,168.32,-93.92,0,0.87,0.10,-0.07,0,0.90,0.06,-0.05,0,-0.090,0.147,-0.177,0,,,,,4.52,0.05,-0.10,0,4.370,5.360,-2.730,0,,,,,,,,,2016-05-06
Kepler-1258 b,1,1,1,Transit,1,0,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,0.98494017,0.00000318,-0.00000318,0,,,,,0.860,0.130,-0.080,0,,,,,,,,,,,,,,,,,,,,,0.00830,0.00036,-0.00025,0,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,,5839.00,79.16,-73.45,0,0.99,0.15,-0.08,0,0.99,0.05,-0.06,0,-0.070,0.145,-0.182,0,,,,,4.45,0.06,-0.12,0,3.890,3.110,-2.170,0,,,,,,,,,2016-05-06
Kepler-1259 b,1,1,1,Transit,1,0,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,0.66308526,0.00000087,-0.00000087,0,,,,,1.430,0.070,-0.100,0,,,,,,,,,,,,,,,,,,,,,0.01712,0.00036,-0.00075,0,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,,5053.00,113.64,-67.62,0,0.77,0.04,-0.04,0,0.80,0.04,-0.05,0,-0.070,0.144,-0.169,0,,,,,4.58,0.03,-0.05,0,5.250,6.000,-3.100,0,,,,,,,,,2016-05-06
Kepler-126 b,1,1,3,Transit,1,0,<a refstr=ROWE_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...784...45R/abstract target=ref> Rowe et al. 2014</a>,10.49571100,0.00002800,-0.00002800,0,0.099000,,,0,1.520,0.100,-0.100,0,,,,,,,,,,,,,,,,,,,,,,,,,<a refstr=ROWE_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...784...45R/abstract target=ref> Rowe et al. 2014</a>,,6239.00,94.00,-94.00,0,1.36,0.02,-0.02,0,,,,,,,,,,,,,4.25,0.04,-0.04,0,,,,,,,,,,,,,2014-05-14
Kepler-126 c,1,1,3,Transit,1,0,<a refstr=ROWE_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...784...45R/abstract target=ref> Rowe et al. 2014</a>,21.86974100,0.00008200,-0.00008200,0,0.162000,,,0,1.580,0.130,-0.130,0,,,,,,,,,,,,,,,,,,,,,,,,,<a refstr=ROWE_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...784...45R/abstract target=ref> Rowe et al. 2014</a>,,6239.00,94.00,-94.00,0,1.36,0.02,-0.02,0,,,,,,,,,,,,,4.25,0.04,-0.04,0,,,,,,,,,,,,,2014-05-14
Kepler-126 d,1,1,3,Transit,1,0,<a refstr=ROWE_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...784...45R/abstract target=ref> Rowe et al. 2014</a>,100.28313400,0.00025500,-0.00025500,0,0.448000,,,0,2.500,0.050,-0.050,0,,,,,,,,,,,,,,,,,,,,,,,,,<a refstr=ROWE_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...784...45R/abstract target=ref> Rowe et al. 2014</a>,,6239.00,94.00,-94.00,0,1.36,0.02,-0.02,0,,,,,,,,,,,,,4.25,0.04,-0.04,0,,,,,,,,,,,,,2014-05-14
Kepler-1260 b,1,1,1,Transit,1,0,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,19.11877530,0.00016870,-0.00016870,0,,,,,1.770,0.510,-0.280,0,,,,,,,,,,,,,,,,,,,,,0.01532,0.00136,-0.00137,0,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,,5961.00,131.56,-192.48,0,1.08,0.30,-0.14,0,1.06,0.09,-0.08,0,0.010,0.136,-0.183,0,,,,,4.39,0.09,-0.18,0,3.800,2.210,-1.980,0,,,,,,,,,2016-05-06
Kepler-1261 b,1,1,1,Transit,1,0,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,48.43089910,0.00031440,-0.00031440,0,,,,,2.260,0.140,-0.140,0,,,,,,,,,,,,,,,,,,,,,0.02722,0.00117,-0.00130,0,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,,5006.00,48.34,-44.49,0,0.77,0.03,-0.03,0,0.82,0.03,-0.04,0,0.030,0.150,-0.160,0,,,,,4.58,0.02,-0.04,0,4.470,5.910,-2.630,0,,,,,,,,,2016-05-06
Kepler-1262 b,1,1,1,Transit,1,0,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,8.67900242,0.00003790,-0.00003790,0,,,,,1.820,0.320,-0.170,0,,,,,,,,,,,,,,,,,,,,,0.01688,0.00068,-0.00053,0,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,,5771.00,101.71,-103.42,0,0.98,0.17,-0.09,0,0.99,0.06,-0.06,0,-0.020,0.139,-0.182,0,,,,,4.45,0.06,-0.14,0,4.270,3.550,-2.520,0,,,,,,,,,2016-05-06
Kepler-1263 b,1,1,1,Transit,1,0,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,4.55139967,0.00002128,-0.00002128,0,,,,,1.140,0.280,-0.120,0,,,,,,,,,,,,,,,,,,,,,0.01333,0.00309,-0.00113,0,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,,5213.00,61.90,-74.37,0,0.80,0.05,-0.05,0,0.84,0.04,-0.04,0,-0.030,0.157,-0.170,0,,,,,4.56,0.03,-0.06,0,4.900,6.270,-2.980,0,,,,,,,,,2016-05-06
Kepler-1264 b,1,1,1,Transit,1,0,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,0.96852602,0.00000233,-0.00000233,0,,,,,1.180,0.220,-0.120,0,,,,,,,,,,,,,,,,,,,,,0.01051,0.00044,-0.00037,0,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,,5791.00,109.18,-145.15,0,0.98,0.18,-0.09,0,0.99,0.06,-0.06,0,-0.020,0.139,-0.180,0,,,,,4.45,0.07,-0.14,0,4.170,3.040,-2.500,0,,,,,,,,,2016-05-06
Kepler-1265 b,1,1,1,Transit,1,0,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,6.49441289,0.00002951,-0.00002951,0,,,,,1.350,0.070,-0.130,0,,,,,,,,,,,,,,,,,,,,,0.01818,0.00067,-0.00102,0,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,,4630.00,42.63,-41.20,0,0.69,0.03,-0.05,0,0.71,0.04,-0.05,0,-0.100,0.155,-0.204,0,,,,,4.63,0.03,-0.03,0,5.250,5.570,-3.080,0,,,,,,,,,2016-05-06
Kepler-1266 b,1,1,2,Transit,1,0,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,28.47474800,0.00020450,-0.00020450,0,,,,,2.580,0.130,-0.460,0,,,,,,,,,,,,,,,,,,,,,0.03141,0.00009,-0.00523,0,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,,5044.00,49.22,-50.99,0,0.76,0.04,-0.05,0,0.80,0.04,-0.05,0,-0.070,0.154,-0.183,0,,,,,4.59,0.03,-0.05,0,5.130,6.070,-3.170,0,,,,,,,,,2016-05-06
Kepler-1266 c,1,1,2,Transit,1,0,<a refstr=VALIZADEGAN_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022ApJ...926..120V/abstract target=ref>Valizadegan et al. 2022</a>,4.86631012,,,0,,,,,1.680,,,0,,,,,,,,,,,,,,,,,,,,,,,,,<a refstr=Q1_Q17_DR25_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q17 DR25 KOI Table</a>,,4996.00,82.00,-74.00,0,0.83,0.03,-0.06,0,0.79,0.06,-0.03,0,0.140,0.150,-0.150,0,,,,,4.50,0.08,-0.03,0,,,,0,,,,,,,,,2021-12-05
Kepler-1267 b,1,1,1,Transit,1,0,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,13.03139450,0.00011040,-0.00011040,0,,,,,3.010,0.950,-0.450,0,,,,,,,,,,,,,,,,,,,,,0.02314,0.00114,-0.00086,0,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,,6096.00,119.67,-215.90,0,1.20,0.37,-0.17,0,1.15,0.11,-0.11,0,0.070,0.150,-0.139,0,,,,,4.33,0.10,-0.20,0,3.240,1.400,-1.510,0,,,,,,,,,2016-05-06
